1,放纵:constraint；放纵：unrestrainedly；放弃：withdraw；停止做某事：put an end to,abandon,,,,,,,,,,,,,
2,降低（地位、职位、威望或尊严）：lower,abase,,,,,,,,,,,,,
3,使尴尬，使羞愧：self-confidence，embarrass,abash,,,,,,,,,,,,,
4,减轻（程度或者强度）：reduce，degree，intensity；减少（数量），降低（价值）：reduce，amount，value,abate,,,,,,,,,,,,,
5,v.缩写，缩短：briefer,abbreviate,,,,,,,,,,,,,
6,v.正式放弃（权力、责任）：throne,abdicate,,,,,,,,,,,,,
7,adj.异常的，非常规的：deviating,aberrant,,,,,,,,,,,,,
8,v.帮助，怂恿：assist or support；v.鼓励：encourage,abet,,,,,,,,,,,,,
9,n.终止，搁置：inactivity,abeyance,,,,,,,,,,,,,
10,vt.深恶痛绝，极度厌恶：extreme repugnance,abhor,,,,,,,,,,,,,
11,永久的：enduring,abiding,,,,,,,,,,,,,
12,adj.无精打采的：spiritless；adj.（地位、身份）悲惨、凄凉的：low state;adj.卑微的，讨好的：humble,abject,,,,,,,,,,,,,
13,"v.发誓放弃:rejecting,abandoning;v.抵制避免:resist",abjure,,,,,,,,,,,,,
14,否认：deny，renounce；投降，放弃，交出（权力等）：surrender，relinquish,abnegate,,,,,,,,,,,,,
15,憎恶：abhor,abominate,,,,,,,,,,,,,
16,无欺诈的，光明正大的：free from，deceit or duplicity,aboveboard,,,,,,,,,,,,,
17,"磨损，精神上的折磨：wear away, by friction",abrade,,,,,,,,,,,,,
18,并排地：in line；熟知的：knowledge of recent developments,abreast,,,,,,,,,,,,,
19,缩短，缩小：shorten；在不改变本意的条件下删减词语，缩写：shorten,abridge,,,,,,,,,,,,,
20,官方的正式废除：annul；无视（某事的）存在：nonexistent,abrogate,,,,,,,,,,,,,
21,偷偷离开：depart secretly,abscond,,,,,,,,,,,,,
22,未出现的，缺乏的：not present；不专心的，走神的：lost in thought,absent,,,,,,,,,,,,,
23,"专制的：unconstrained; 无限的unqualified; 完美的，纯净不惨杂的：free from imperfection, mixture; 不容置疑的，确凿的：unquestionable",absolute,,,,,,,,,,,,,
24,"使无罪，解除责任：free from, guilt, exculpate",absolve,,,,,,,,,,,,,
25,"自我克制，主动戒绝：refrain, by one’s own choice",abstain,,,,,,,,,,,,,
26,"（吃喝等）有节制的，节俭的：restraint, food or alcohol, sparing",abstemious,,,,,,,,,,,,,
27,"做总结，概括：abstract, summarize; 使分心：away, attention",abstract,,,,,,,,,,,,,
28,难以理解的：recondite,abstruse,,,,,,,,,,,,,
29,不合理的：unreasonable,absurd,,,,,,,,,,,,,
30,大量的： great plenty,abundant,,,,,,,,,,,,,
31,辱骂，抨击：condemn or vilify; 不正当的或不合理使用的：wrong or improper use; 过分过量使用的：use excessively,abuse,,,,,,,,,,,,,
32,邻接，毗邻：adjacent,abut,,,,,,,,,,,,,
33,极低的，极可怜的：immeasurably low; （程度）很深的，极端的：immeasurably great,abysmal,,,,,,,,,,,,,
34,"赞成：approval, consent; 就任，就职：come into an office",accede,,,,,,,,,,,,,
35,加速：faster; 使提前发生：earlier; 变大，变多：greater,accelerate,,,,,,,,,,,,,
36,可以达到的：within easy reach; 可以理解的：understood; 能够获得的：get,accessible,,,,,,,,,,,,,
37,"辅助的，附属的：secondary, supplementary, subordinate; 帮凶：one, wrongdoing",accessory,,,,,,,,,,,,,
38,意外发生的，偶然的：unexpectedly; 附带的，不重要的：not being a vital part,accidental,,,,,,,,,,,,,
39,称赞：public acknowledgment or admiration；赞扬，赞颂：approval,acclaim,,,,,,,,,,,,,
40,使适应：to change (something) so as to make it suitable,acclimate,,,,,,,,,,,,,
41,同意，赞赏：approval; 赞扬：praise,accolade,,,,,,,,,,,,,
42,"提供所需（例如服务、借贷、寄宿）：provide; 改变以适应新情况、新场景：make, suitable;使和谐：free of conflicts",accommodate,,,,,,,,,,,,,
43,实现，完成：completion,accomplish,,,,,,,,,,,,,
44,一致：consistency；相符合，相一致：in harmony；授予，给予：to grant or give,accord,,,,,,,,,,,,,
45,以挑衅的形式搭讪：challenging or aggressive way,accost,,,,,,,,,,,,,
46,"逐渐增长：grow, gradually",accrete,,,,,,,,,,,,,
47,逐渐增长：increase gradually,accumulate,,,,,,,,,,,,,
48,"（心情、心境或者语调）尖酸的：wit, cause hurt feelings",acerbic,,,,,,,,,,,,,
49,承认：admit concede,acknowledge,,,,,,,,,,,,,
50,顶点，极点：highest; 最佳典范：most perfect type,acme,,,,,,,,,,,,,
51,"勉强同意；默许：accept, tacitly or passively",acquiesce,,,,,,,,,,,,,
52,获取，获得：get as one's own,acquire,,,,,,,,,,,,,
53,贪婪的：desirous,acquisitive,,,,,,,,,,,,,
54,"辛辣的，刺鼻的：harsh, taste, odor; 刻薄的：wit, cause hurt feelings",acrid,,,,,,,,,,,,,
55,刻薄的，充满仇恨的：deep-seated resentment,acrimonious,,,,,,,,,,,,,
56,不同寻常的洞察力和鉴别力：exceptional discernment and judgment,acumen,,,,,,,,,,,,,
57,敏锐的：keen discernment; 严重的，急性的：immediate attention; （程度、影响）极强的：extreme,acute,,,,,,,,,,,,,
58,"固执的，不可动摇的：unshakable, unyielding, inflexible",adamant,,,,,,,,,,,,,
59,修改，使（适应）：modify,adapt,,,,,,,,,,,,,
60,"沉溺，上瘾：surrender, obsessively; 对某事上瘾的人：habitual liking",addict,,,,,,,,,,,,,
61,依附，粘着：stick; 服从，遵守：according to the commands; 坚定地支持：steadfast support,adhere,,,,,,,,,,,,,
62,延期，休会：suspend;,adjourn,,,,,,,,,,,,,
63,裁决，判定：settle,adjudicate,,,,,,,,,,,,,
64,附属物，非必需部分：not essentially a part,adjunct,,,,,,,,,,,,,
65,即兴的：without previous thought or preparation,ad-lib,,,,,,,,,,,,,
66,建议：give advice; 责备：reprove gently,admonish,,,,,,,,,,,,,
